Model_name,Loss,Accuracy
RNN,0.6841172575950623,0.5705757141113281
GRU,0.7496104836463928,0.49970149993896484
LSTM,0.0,0.403496801853179
BiLSTM,0.7910744547843933,0.508827269077301
BiGRU,0.7954903244972229,0.5139445662498474
